Id,Genre,Formatted Genre
tt0086425,"['Comedy', 'Drama']","comedy, drama"
tt0085549,"['Drama', 'Romance', 'Music']","drama, romance, music"
tt0086465,['Comedy'],comedy
tt0086567,"['Sci-Fi', 'Thriller']","scifi, thriller"
tt0086034,"['Action', 'Adventure', 'Thriller']","action, adventure, thriller"
tt0086383,"['Action', 'Thriller']","action, thriller"
tt0086361,"['Drama', 'Music', 'Romance']","drama, music, romance"
tt0085970,"['Comedy', 'Drama']","comedy, drama"
tt0086200,"['Comedy', 'Crime', 'Drama']","comedy, crime, drama"
tt0085995,"['Adventure', 'Comedy']","adventure, comedy"
tt0086393,"['Action', 'Comedy', 'Sci-Fi']","action, comedy, scifi"
tt0085244,"['Comedy', 'Drama']","comedy, drama"
tt0086006,"['Action', 'Adventure', 'Thriller']","action, adventure, thriller"
tt0085750,['Horror'],horror
tt0085255,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0086619,"['Drama', 'Musical', 'Romance']",music
tt0086312,"['Biography', 'Drama', 'History']",documentary
tt0086154,"['Crime', 'Horror', 'Mystery']","crime, horror, mystery"
tt0086129,['Comedy'],comedy
tt0086508,"['Action', 'Drama', 'Thriller']","action, drama, thriller"
tt0086005,"['Adventure', 'Drama']","adventure, drama"
tt0086491,"['Horror', 'Sci-Fi']","horror, scifi"
tt0085470,['Comedy'],comedy
tt0085678,"['Adventure', 'Drama', 'Romance']","adventure, drama, romance"
tt0086066,"['Crime', 'Drama']","crime, drama"
tt0086352,"['Comedy', 'Romance']","comedy, romance"
tt0086494,"['Comedy', 'Fantasy', 'Romance']","comedy, fantasy, romance"
tt0085980,['Comedy'],comedy
tt0085346,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0086197,"['Adventure', 'Drama', 'History']","adventure, drama, history"
tt0085382,"['Horror', 'Thriller']","horror, thriller"
tt0085333,"['Action', 'Drama', 'Horror']","action, drama, horror"
tt0085407,"['Horror', 'Sci-Fi', 'Thriller']","horror, scifi, thriller"
tt0085276,"['Action', 'Drama', 'Romance']","action, drama, romance"
tt0085334,"['Comedy', 'Family']","comedy, family"
tt0085919,"['Comedy', 'Drama']","comedy, drama"
tt0086525,"['Comedy', 'Romance']","comedy, romance"
tt0085154,"['Drama', 'Romance', 'Sport']","drama, romance, sport"
tt0085811,"['Action', 'Adventure', 'Fantasy']","action, adventure, fantasy"
tt0086346,"['Action', 'Adventure', 'Sci-Fi']","action, adventure, scifi"
tt0085387,"['Comedy', 'Action']","comedy, action"
tt0085615,"['Crime', 'Drama', 'Mystery']","crime, drama, mystery"
tt0085478,"['Comedy', 'Drama']","comedy, drama"
tt0086143,"['Comedy', 'Romance']","comedy, romance"
tt0086397,"['Comedy', 'Crime', 'Drama']","comedy, crime, drama"
tt0086192,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0086379,"['Action', 'Comedy', 'Romance']","action, comedy, romance"
